id,first_name,last_name,email,gender,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score
24,Tanjim,Rahman,tanjim.rahman.24@gslingacademy.com,Male,TRUE,14,Lawyer,75,56,85,78,92,98
25,Anika,Uddin,anika.uddin.25@gslingacademy.com,Female,FALSE,24,Lawyer,82,60,73,93,60,80
26,Anika,Ahmed,anika.ahmed.26@gslingacademy.com,Female,FALSE,12,Lawyer,57,72,70,60,83,66
27,Fahim,Rahman,fahim.rahman.27@gslingacademy.com,Male,FALSE,25,Civil,68,46,64,80,82,64
28,Sadia,Uddin,sadia.uddin.28@gslingacademy.com,Female,FALSE,18,Civil,43,64,66,81,71,79
29,Tamanna,Hasan,tamanna.hasan.29@gslingacademy.com,Female,FALSE,10,Civil,67,75,67,85,88,88
30,Nusrat,Chowdhury,nusrat.chowdhury.30@gslingacademy.com,Female,TRUE,19,Biotechnology,65,62,64,63,43,51
31,Fatima,Uddin,fatima.uddin.31@gslingacademy.com,Female,TRUE,19,Biotechnology,80,74,70,70,81,63
32,Farhan,Hasan,farhan.hasan.32@gslingacademy.com,Male,FALSE,26,Civil,62,79,58,77,79,69
33,Farhan,Hossain,farhan.hossain.33@gslingacademy.com,Male,FALSE,16,Lawyer,89,70,63,83,61,74
34,Rafi,Ahmed,rafi.ahmed.34@gslingacademy.com,Male,TRUE,15,Doctor,100,93,100,100,94,95
35,Ayesha,Ahmed,ayesha.ahmed.35@gslingacademy.com,Female,FALSE,25,Biotechnology,57,38,51,75,59,62
36,Sabbir,Chowdhury,sabbir.chowdhury.36@gslingacademy.com,Male,FALSE,13,Lawyer,68,77,44,79,86,59
37,Anika,Hasan,anika.hasan.37@gslingacademy.com,Female,TRUE,13,Civil,84,83,74,72,91,88
38,Rafi,Hasan,rafi.hasan.38@gslingacademy.com,Male,TRUE,28,Lawyer,68,74,77,79,72,68
39,Anika,Chowdhury,anika.chowdhury.39@gslingacademy.com,Female,TRUE,29,Biotechnology,46,49,57,47,60,55
40,Shakil,Alam,shakil.alam.40@gslingacademy.com,Male,TRUE,30,Civil,82,54,100,73,80,76
41,Tanvir,Uddin,tanvir.uddin.41@gslingacademy.com,Male,TRUE,25,Civil,70,67,57,65,72,78
42,Anika,Hasan,anika.hasan.42@gslingacademy.com,Female,FALSE,16,Civil,82,63,88,76,67,75
43,Mim,Alam,mim.alam.43@gslingacademy.com,Female,TRUE,19,Lawyer,96,82,81,74,86,93
44,Farhan,Hossain,farhan.hossain.44@gslingacademy.com,Male,TRUE,17,Biotechnology,59,60,65,50,61,71
45,Farhan,Khan,farhan.khan.45@gslingacademy.com,Male,TRUE,23,Biotechnology,65,54,61,81,82,82
46,Hasan,Islam,hasan.islam.46@gslingacademy.com,Male,FALSE,6,Civil,61,63,57,73,69,68
47,Ayesha,Rahman,ayesha.rahman.47@gslingacademy.com,Female,FALSE,18,Civil,69,73,65,69,65,94
48,Fatima,Rahman,fatima.rahman.48@gslingacademy.com,Female,TRUE,25,Civil,92,100,86,92,86,82
49,Fatima,Uddin,fatima.uddin.49@gslingacademy.com,Female,TRUE,17,Lawyer,60,61,74,72,84,76
50,Sumaiya,Chowdhury,sumaiya.chowdhury.50@gslingacademy.com,Female,TRUE,15,Lawyer,65,70,66,79,68,72
51,Mim,Alam,mim.alam.51@gslingacademy.com,Female,FALSE,14,Civil,91,96,73,73,70,71
52,Sabbir,Hossain,sabbir.hossain.52@gslingacademy.com,Male,FALSE,10,Biotechnology,63,66,76,67,96,65
53,Sadia,Uddin,sadia.uddin.53@gslingacademy.com,Female,FALSE,12,Civil,86,76,86,82,85,85
54,Rahim,Ahmed,rahim.ahmed.54@gslingacademy.com,Male,FALSE,23,Civil,74,77,77,78,68,66
55,Ayesha,Chowdhury,ayesha.chowdhury.55@gslingacademy.com,Female,TRUE,27,Lawyer,100,78,91,88,85,85
56,Mim,Ahmed,mim.ahmed.56@gslingacademy.com,Female,FALSE,18,Lawyer,60,65,67,73,72,68
57,Maliha,Khan,maliha.khan.57@gslingacademy.com,Female,FALSE,12,Biotechnology,78,69,61,64,68,66
58,Fatima,Hasan,fatima.hasan.58@gslingacademy.com,Female,FALSE,16,Civil,81,54,83,61,70,72
59,Tamanna,Chowdhury,tamanna.chowdhury.59@gslingacademy.com,Female,FALSE,19,Lawyer,86,70,69,84,82,66
60,Anika,Hossain,anika.hossain.60@gslingacademy.com,Female,FALSE,35,Biotechnology,74,37,49,62,59,57
61,Sabbir,Chowdhury,sabbir.chowdhury.61@gslingacademy.com,Male,FALSE,19,Civil,90,64,71,80,86,68
62,Fatima,Islam,fatima.islam.62@gslingacademy.com,Female,TRUE,24,Biotechnology,94,72,76,87,80,67
63,Meherin,Ahmed,meherin.ahmed.63@gslingacademy.com,Female,FALSE,24,Lawyer,74,88,100,83,98,86
64,Anika,Ahmed,anika.ahmed.64@gslingacademy.com,Female,FALSE,6,Lawyer,71,55,96,80,84,81
65,Rafi,Hasan,rafi.hasan.65@gslingacademy.com,Male,FALSE,11,Biotechnology,69,83,69,78,69,88
66,Hasan,Alam,hasan.alam.66@gslingacademy.com,Male,TRUE,24,Lawyer,73,63,75,75,60,74
67,Sadia,Ahmed,sadia.ahmed.67@gslingacademy.com,Female,FALSE,20,Biotechnology,77,77,69,88,75,81
68,Farhan,Chowdhury,farhan.chowdhury.68@gslingacademy.com,Male,TRUE,18,Civil,49,64,64,74,72,65
69,Sabbir,Hossain,sabbir.hossain.69@gslingacademy.com,Male,FALSE,26,Biotechnology,74,50,59,65,82,75
70,Anika,Hasan,anika.hasan.70@gslingacademy.com,Female,FALSE,15,Lawyer,67,82,96,77,74,78
71,Fahim,Rahman,fahim.rahman.71@gslingacademy.com,Male,TRUE,23,Biotechnology,73,78,74,99,89,91
72,Rafi,Islam,rafi.islam.72@gslingacademy.com,Male,FALSE,18,Civil,57,74,65,65,98,73
73,Rafi,Hossain,rafi.hossain.73@gslingacademy.com,Male,FALSE,17,Biotechnology,71,73,85,69,71,81
74,Sabbir,Uddin,sabbir.uddin.74@gslingacademy.com,Male,FALSE,16,Civil,61,44,69,60,67,68
75,Sadia,Uddin,sadia.uddin.75@gslingacademy.com,Female,FALSE,23,Civil,87,83,79,67,91,82
76,Nusrat,Rahman,nusrat.rahman.76@gslingacademy.com,Female,FALSE,28,Biotechnology,72,61,79,87,73,84
77,Fahim,Ahmed,fahim.ahmed.77@gslingacademy.com,Male,FALSE,17,Civil,56,41,63,63,67,66
78,Meherin,Khan,meherin.khan.78@gslingacademy.com,Female,TRUE,19,Civil,98,93,94,74,90,81
79,Tanjim,Alam,tanjim.alam.79@gslingacademy.com,Male,TRUE,26,Civil,77,80,72,77,59,70
80,Fatima,Uddin,fatima.uddin.80@gslingacademy.com,Female,TRUE,18,Civil,81,84,83,78,81,82
81,Fahim,Khan,fahim.khan.81@gslingacademy.com,Male,FALSE,15,Lawyer,82,73,93,97,76,80
82,Tamanna,Alam,tamanna.alam.82@gslingacademy.com,Female,FALSE,17,Biotechnology,93,69,70,93,78,84
83,Nabil,Uddin,nabil.uddin.83@gslingacademy.com,Male,FALSE,21,Civil,81,70,86,46,83,86
84,Sadia,Ahmed,sadia.ahmed.84@gslingacademy.com,Female,TRUE,19,Biotechnology,68,57,83,75,65,85
85,Rafi,Rahman,rafi.rahman.85@gslingacademy.com,Male,TRUE,13,Biotechnology,72,74,89,50,89,89
86,Fatima,Chowdhury,fatima.chowdhury.86@gslingacademy.com,Female,TRUE,15,Civil,88,76,77,66,82,74
87,Ayesha,Ahmed,ayesha.ahmed.87@gslingacademy.com,Female,TRUE,13,Civil,72,79,57,75,55,82
88,Tamanna,Kabir,tamanna.kabir.88@gslingacademy.com,Female,TRUE,15,Civil,47,60,61,87,51,42
89,Tanjim,Islam,tanjim.islam.89@gslingacademy.com,Male,TRUE,13,Biotechnology,94,82,83,75,90,58
90,Shakil,Chowdhury,shakil.chowdhury.90@gslingacademy.com,Male,FALSE,17,Biotechnology,73,69,76,96,69,84
91,Sabbir,Alam,sabbir.alam.91@gslingacademy.com,Male,TRUE,27,Lawyer,61,63,56,63,70,36
92,Maliha,Hasan,maliha.hasan.92@gslingacademy.com,Female,TRUE,21,Civil,80,65,63,75,66,67
93,Maliha,Uddin,maliha.uddin.93@gslingacademy.com,Female,TRUE,16,Lawyer,86,83,95,62,83,85
94,Tamanna,Alam,tamanna.alam.94@gslingacademy.com,Female,FALSE,20,Civil,51,78,69,65,66,72
95,Anika,Hossain,anika.hossain.95@gslingacademy.com,Female,FALSE,32,Lawyer,79,57,77,78,66,77
96,Fatima,Rahman,fatima.rahman.96@gslingacademy.com,Female,FALSE,36,Civil,100,83,81,87,100,76
97,Maliha,Ahmed,maliha.ahmed.97@gslingacademy.com,Female,FALSE,26,Biotechnology,29,42,60,46,64,55
98,Ayesha,Alam,ayesha.alam.98@gslingacademy.com,Female,TRUE,8,Biotechnology,61,47,55,54,49,65
99,Maliha,Rahman,maliha.rahman.99@gslingacademy.com,Female,FALSE,10,Biotechnology,89,63,82,82,78,71
100,Farhan,Alam,farhan.alam.100@gslingacademy.com,Male,TRUE,13,Civil,74,99,73,50,84,74
101,Hasan,Hossain,hasan.hossain.101@gslingacademy.com,Male,TRUE,33,Civil,86,61,72,83,75,72
102,Sumaiya,Chowdhury,sumaiya.chowdhury.102@gslingacademy.com,Female,FALSE,11,Civil,64,50,69,60,61,71
103,Sumaiya,Rahman,sumaiya.rahman.103@gslingacademy.com,Female,FALSE,21,Lawyer,65,63,49,65,57,62
104,Sumaiya,Hossain,sumaiya.hossain.104@gslingacademy.com,Female,FALSE,17,Civil,69,58,54,59,55,74
105,Fatima,Hasan,fatima.hasan.105@gslingacademy.com,Female,TRUE,20,Lawyer,83,45,76,56,52,71
106,Fahim,Uddin,fahim.uddin.106@gslingacademy.com,Male,TRUE,22,Civil,95,66,84,86,75,82
107,Ayesha,Hossain,ayesha.hossain.107@gslingacademy.com,Female,TRUE,20,Biotechnology,75,80,72,80,76,97
108,Tamanna,Hossain,tamanna.hossain.108@gslingacademy.com,Female,FALSE,28,Biotechnology,94,73,68,72,82,91
109,Fatima,Rahman,fatima.rahman.109@gslingacademy.com,Female,TRUE,17,Civil,74,74,46,62,75,67
110,Mim,Rahman,mim.rahman.110@gslingacademy.com,Female,TRUE,13,Biotechnology,68,85,69,65,79,81
111,Maliha,Islam,maliha.islam.111@gslingacademy.com,Female,TRUE,15,Lawyer,74,64,65,99,88,83
112,Hasan,Hossain,hasan.hossain.112@gslingacademy.com,Male,TRUE,15,Civil,96,92,87,83,84,78
113,Farhan,Uddin,farhan.uddin.113@gslingacademy.com,Male,FALSE,15,Lawyer,81,68,68,63,80,76
114,Tamanna,Uddin,tamanna.uddin.114@gslingacademy.com,Female,TRUE,25,Civil,71,51,62,58,68,69
115,Fatima,Hasan,fatima.hasan.115@gslingacademy.com,Female,FALSE,14,Biotechnology,88,82,77,95,86,79
116,Ayesha,Kabir,ayesha.kabir.116@gslingacademy.com,Female,FALSE,20,Lawyer,87,81,72,78,68,68
117,Nusrat,Kabir,nusrat.kabir.117@gslingacademy.com,Female,FALSE,19,Lawyer,87,87,75,87,69,82
118,Ayesha,Islam,ayesha.islam.118@gslingacademy.com,Female,TRUE,11,Civil,81,62,56,80,61,75
119,Sabbir,Chowdhury,sabbir.chowdhury.119@gslingacademy.com,Male,TRUE,22,Doctor,91,68,67,94,92,97
120,Hasan,Kabir,hasan.kabir.120@gslingacademy.com,Male,TRUE,32,Lawyer,55,68,65,62,58,58
121,Tanvir,Uddin,tanvir.uddin.121@gslingacademy.com,Male,TRUE,8,Lawyer,61,71,76,79,66,74
122,Nabil,Khan,nabil.khan.122@gslingacademy.com,Male,TRUE,29,Biotechnology,67,54,73,39,76,66
123,Sumaiya,Khan,sumaiya.khan.123@gslingacademy.com,Female,FALSE,22,Biotechnology,76,84,68,78,99,72
124,Tanvir,Ahmed,tanvir.ahmed.124@gslingacademy.com,Male,TRUE,23,Lawyer,58,60,44,53,50,63
125,Nusrat,Alam,nusrat.alam.125@gslingacademy.com,Female,TRUE,25,Civil,69,71,71,87,75,76
126,Rafi,Ahmed,rafi.ahmed.126@gslingacademy.com,Male,FALSE,17,Lawyer,87,76,76,85,88,79
127,Tanvir,Hasan,tanvir.hasan.127@gslingacademy.com,Male,FALSE,33,Civil,67,48,58,76,53,80
128,Sabbir,Uddin,sabbir.uddin.128@gslingacademy.com,Male,TRUE,9,Lawyer,81,70,81,75,63,81
129,Anika,Ahmed,anika.ahmed.129@gslingacademy.com,Female,FALSE,26,Lawyer,70,79,100,92,82,87
130,Meherin,Chowdhury,meherin.chowdhury.130@gslingacademy.com,Female,FALSE,22,Civil,65,45,63,49,58,55
131,Tanvir,Kabir,tanvir.kabir.131@gslingacademy.com,Male,TRUE,8,Biotechnology,65,63,66,84,70,64
132,Shakil,Hossain,shakil.hossain.132@gslingacademy.com,Male,FALSE,34,Biotechnology,78,68,77,68,68,71
133,Mim,Uddin,mim.uddin.133@gslingacademy.com,Female,FALSE,23,Civil,75,74,73,66,75,76
134,Fatima,Chowdhury,fatima.chowdhury.134@gslingacademy.com,Female,TRUE,28,Biotechnology,69,73,98,81,90,82
135,Anika,Rahman,anika.rahman.135@gslingacademy.com,Female,FALSE,19,Civil,76,65,48,64,67,61
136,Meherin,Islam,meherin.islam.136@gslingacademy.com,Female,TRUE,16,Biotechnology,85,59,78,61,62,60
137,Meherin,Kabir,meherin.kabir.137@gslingacademy.com,Female,FALSE,25,Biotechnology,100,83,93,77,83,88
138,Sumaiya,Hasan,sumaiya.hasan.138@gslingacademy.com,Female,TRUE,29,Lawyer,62,70,71,73,53,61
139,Tanvir,Islam,tanvir.islam.139@gslingacademy.com,Male,FALSE,12,Lawyer,63,55,64,73,56,80
140,Tanjim,Ahmed,tanjim.ahmed.140@gslingacademy.com,Male,FALSE,29,Biotechnology,78,51,81,64,68,59
141,Fahim,Kabir,fahim.kabir.141@gslingacademy.com,Male,FALSE,29,Biotechnology,74,54,63,72,69,80
142,Rafi,Alam,rafi.alam.142@gslingacademy.com,Male,FALSE,24,Civil,82,71,83,74,59,68
143,Rahim,Uddin,rahim.uddin.143@gslingacademy.com,Male,TRUE,22,Lawyer,98,75,78,66,70,85
144,Nusrat,Chowdhury,nusrat.chowdhury.144@gslingacademy.com,Female,FALSE,20,Civil,73,67,68,72,68,75
145,Rafi,Alam,rafi.alam.145@gslingacademy.com,Male,TRUE,23,Doctor,74,89,100,100,100,100
146,Sadia,Alam,sadia.alam.146@gslingacademy.com,Female,TRUE,15,Biotechnology,70,63,75,72,82,76
147,Ayesha,Khan,ayesha.khan.147@gslingacademy.com,Female,FALSE,20,Civil,54,59,66,72,75,66
148,Tamanna,Ahmed,tamanna.ahmed.148@gslingacademy.com,Female,TRUE,18,Lawyer,83,100,88,100,83,96
149,Fatima,Khan,fatima.khan.149@gslingacademy.com,Female,TRUE,33,Biotechnology,63,39,63,49,44,69
150,Tanjim,Rahman,tanjim.rahman.150@gslingacademy.com,Male,FALSE,27,Civil,77,67,76,69,81,100
151,Tamanna,Khan,tamanna.khan.151@gslingacademy.com,Female,FALSE,23,Civil,58,56,65,71,62,66
152,Mim,Alam,mim.alam.152@gslingacademy.com,Female,TRUE,42,Lawyer,100,97,90,74,97,87
153,Shakil,Alam,shakil.alam.153@gslingacademy.com,Male,TRUE,16,Lawyer,79,67,75,90,84,72
154,Anika,Islam,anika.islam.154@gslingacademy.com,Female,FALSE,5,Civil,84,61,86,82,94,90
155,Maliha,Rahman,maliha.rahman.155@gslingacademy.com,Female,TRUE,21,Biotechnology,53,56,39,56,55,71
156,Meherin,Chowdhury,meherin.chowdhury.156@gslingacademy.com,Female,FALSE,19,Civil,73,80,79,58,55,61
157,Ayesha,Rahman,ayesha.rahman.157@gslingacademy.com,Female,FALSE,10,Doctor,100,82,93,100,92,96
158,Hasan,Rahman,hasan.rahman.158@gslingacademy.com,Male,TRUE,23,Civil,72,88,78,92,79,86
159,Rafi,Hossain,rafi.hossain.159@gslingacademy.com,Male,FALSE,31,Doctor,83,86,88,93,90,76
160,Hasan,Hasan,hasan.hasan.160@gslingacademy.com,Male,FALSE,23,Biotechnology,54,57,69,50,51,56
161,Shakil,Islam,shakil.islam.161@gslingacademy.com,Male,TRUE,23,Biotechnology,83,67,78,85,75,61
162,Fatima,Islam,fatima.islam.162@gslingacademy.com,Female,TRUE,37,Biotechnology,78,86,95,88,85,94
163,Ayesha,Hasan,ayesha.hasan.163@gslingacademy.com,Female,FALSE,27,Lawyer,61,91,74,89,84,77
164,Mim,Islam,mim.islam.164@gslingacademy.com,Female,FALSE,21,Biotechnology,42,50,56,45,52,58
165,Fatima,Islam,fatima.islam.165@gslingacademy.com,Female,FALSE,22,Lawyer,79,52,81,70,55,60
166,Rahim,Hasan,rahim.hasan.166@gslingacademy.com,Male,FALSE,21,Biotechnology,78,80,80,84,68,80
167,Fahim,Chowdhury,fahim.chowdhury.167@gslingacademy.com,Male,FALSE,19,Lawyer,76,60,55,81,68,77
168,Sadia,Chowdhury,sadia.chowdhury.168@gslingacademy.com,Female,FALSE,17,Civil,61,70,69,53,78,63
169,Nusrat,Kabir,nusrat.kabir.169@gslingacademy.com,Female,TRUE,35,Lawyer,74,72,65,69,85,76
170,Tanjim,Uddin,tanjim.uddin.170@gslingacademy.com,Male,FALSE,18,Lawyer,65,69,58,61,65,73
171,Sumaiya,Rahman,sumaiya.rahman.171@gslingacademy.com,Female,TRUE,15,Lawyer,52,46,61,40,60,70
172,Nusrat,Khan,nusrat.khan.172@gslingacademy.com,Female,TRUE,15,Biotechnology,67,53,85,71,74,65
173,Shakil,Hasan,shakil.hasan.173@gslingacademy.com,Male,FALSE,17,Doctor,84,71,100,100,100,99
174,Mim,Alam,mim.alam.174@gslingacademy.com,Female,FALSE,24,Civil,60,59,48,46,50,52
175,Sabbir,Chowdhury,sabbir.chowdhury.175@gslingacademy.com,Male,FALSE,15,Civil,70,68,88,66,73,66
176,Maliha,Alam,maliha.alam.176@gslingacademy.com,Female,FALSE,27,Lawyer,74,93,70,90,77,98
177,Rafi,Hasan,rafi.hasan.177@gslingacademy.com,Male,TRUE,21,Civil,92,72,65,72,73,79
178,Nabil,Hossain,nabil.hossain.178@gslingacademy.com,Male,TRUE,26,Lawyer,59,68,60,74,64,69
179,Anika,Alam,anika.alam.179@gslingacademy.com,Female,TRUE,28,Biotechnology,80,70,76,89,92,97
180,Mim,Rahman,mim.rahman.180@gslingacademy.com,Female,FALSE,28,Engineer,100,83,96,98,71,93
181,Sadia,Khan,sadia.khan.181@gslingacademy.com,Female,FALSE,24,Lawyer,73,88,99,82,75,79
182,Nabil,Chowdhury,nabil.chowdhury.182@gslingacademy.com,Male,TRUE,22,Biotechnology,85,81,93,94,76,91
183,Farhan,Hasan,farhan.hasan.183@gslingacademy.com,Male,FALSE,18,Doctor,89,100,62,91,92,100
184,Nabil,Kabir,nabil.kabir.184@gslingacademy.com,Male,FALSE,20,Civil,75,66,65,89,60,51
185,Tamanna,Alam,tamanna.alam.185@gslingacademy.com,Female,FALSE,5,Lawyer,67,65,67,67,75,72
186,Nabil,Chowdhury,nabil.chowdhury.186@gslingacademy.com,Male,FALSE,27,Biotechnology,92,83,79,89,86,95
187,Maliha,Alam,maliha.alam.187@gslingacademy.com,Female,FALSE,17,Lawyer,53,62,52,64,61,75
188,Rahim,Khan,rahim.khan.188@gslingacademy.com,Male,FALSE,9,Civil,72,52,67,53,71,91
189,Sumaiya,Alam,sumaiya.alam.189@gslingacademy.com,Female,TRUE,25,Biotechnology,55,47,67,63,37,45
190,Sadia,Islam,sadia.islam.190@gslingacademy.com,Female,FALSE,24,Biotechnology,66,59,64,77,63,56
191,Tanjim,Chowdhury,tanjim.chowdhury.191@gslingacademy.com,Male,FALSE,7,Biotechnology,79,89,91,97,70,77
192,Ayesha,Kabir,ayesha.kabir.192@gslingacademy.com,Female,TRUE,9,Civil,62,49,88,83,56,84
193,Nabil,Hasan,nabil.hasan.193@gslingacademy.com,Male,TRUE,24,Lawyer,65,72,71,62,72,41
194,Shakil,Chowdhury,shakil.chowdhury.194@gslingacademy.com,Male,TRUE,17,Civil,74,42,75,66,92,62
195,Nabil,Alam,nabil.alam.195@gslingacademy.com,Male,FALSE,15,Lawyer,69,71,83,75,71,92
196,Shakil,Khan,shakil.khan.196@gslingacademy.com,Male,TRUE,24,Biotechnology,87,82,74,75,75,79
197,Ayesha,Islam,ayesha.islam.197@gslingacademy.com,Female,TRUE,16,Civil,70,91,75,73,84,67
198,Mim,Hossain,mim.hossain.198@gslingacademy.com,Female,FALSE,23,Biotechnology,64,65,78,76,55,68
199,Tanjim,Rahman,tanjim.rahman.199@gslingacademy.com,Male,FALSE,19,Civil,87,77,86,74,70,68
200,Nabil,Alam,nabil.alam.200@gslingacademy.com,Male,FALSE,23,Civil,93,93,82,80,99,78
201,Meherin,Uddin,meherin.uddin.201@gslingacademy.com,Female,FALSE,26,Biotechnology,86,85,90,65,70,77
202,Farhan,Alam,farhan.alam.202@gslingacademy.com,Male,FALSE,19,Lawyer,67,66,57,77,76,66
203,Sabbir,Kabir,sabbir.kabir.203@gslingacademy.com,Male,TRUE,20,Biotechnology,84,70,84,99,71,84
204,Rafi,Chowdhury,rafi.chowdhury.204@gslingacademy.com,Male,FALSE,29,Lawyer,81,63,70,72,75,80
205,Sadia,Khan,sadia.khan.205@gslingacademy.com,Female,TRUE,12,Civil,76,71,97,75,67,85
206,Sabbir,Kabir,sabbir.kabir.206@gslingacademy.com,Male,FALSE,26,Lawyer,77,73,100,78,86,89
207,Fahim,Uddin,fahim.uddin.207@gslingacademy.com,Male,TRUE,23,Civil,79,63,73,89,93,87
208,Fatima,Kabir,fatima.kabir.208@gslingacademy.com,Female,TRUE,15,Lawyer,94,81,76,77,86,65
209,Fatima,Kabir,fatima.kabir.209@gslingacademy.com,Female,TRUE,5,Lawyer,53,51,60,59,59,69
210,Rafi,Hasan,rafi.hasan.210@gslingacademy.com,Male,TRUE,20,Biotechnology,77,72,73,80,73,89
211,Anika,Alam,anika.alam.211@gslingacademy.com,Female,TRUE,14,Lawyer,76,76,66,73,87,100
212,Rafi,Rahman,rafi.rahman.212@gslingacademy.com,Male,FALSE,17,Lawyer,82,84,75,77,78,87
213,Rafi,Rahman,rafi.rahman.213@gslingacademy.com,Male,TRUE,16,Civil,73,63,69,70,82,87
214,Farhan,Islam,farhan.islam.214@gslingacademy.com,Male,FALSE,21,Biotechnology,84,60,63,67,76,57
215,Tanvir,Hasan,tanvir.hasan.215@gslingacademy.com,Male,TRUE,18,Biotechnology,91,85,92,87,86,76
216,Shakil,Hossain,shakil.hossain.216@gslingacademy.com,Male,TRUE,15,Civil,74,89,100,90,81,86
217,Nusrat,Alam,nusrat.alam.217@gslingacademy.com,Female,TRUE,15,Civil,68,79,89,73,50,69
218,Tanjim,Kabir,tanjim.kabir.218@gslingacademy.com,Male,TRUE,26,Lawyer,76,73,71,69,57,59
219,Anika,Ahmed,anika.ahmed.219@gslingacademy.com,Female,FALSE,20,Biotechnology,85,49,68,66,63,89
220,Maliha,Ahmed,maliha.ahmed.220@gslingacademy.com,Female,TRUE,14,Civil,86,84,92,96,88,100
221,Nusrat,Chowdhury,nusrat.chowdhury.221@gslingacademy.com,Female,FALSE,6,Biotechnology,69,67,81,74,82,70
222,Hasan,Kabir,hasan.kabir.222@gslingacademy.com,Male,FALSE,15,Biotechnology,77,67,96,71,78,76
223,Sabbir,Hasan,sabbir.hasan.223@gslingacademy.com,Male,TRUE,13,Biotechnology,79,71,65,71,71,95
224,Tanvir,Hasan,tanvir.hasan.224@gslingacademy.com,Male,FALSE,20,Lawyer,43,54,56,58,32,40
225,Hasan,Rahman,hasan.rahman.225@gslingacademy.com,Male,FALSE,17,Lawyer,94,88,95,88,91,100
226,Sadia,Islam,sadia.islam.226@gslingacademy.com,Female,FALSE,29,Biotechnology,72,45,81,62,79,82
227,Ayesha,Rahman,ayesha.rahman.227@gslingacademy.com,Female,FALSE,24,Civil,76,90,78,69,73,74
228,Nabil,Hossain,nabil.hossain.228@gslingacademy.com,Male,FALSE,17,Lawyer,71,86,87,93,87,69
229,Meherin,Hasan,meherin.hasan.229@gslingacademy.com,Female,FALSE,24,Civil,89,67,94,72,77,83
230,Sabbir,Hasan,sabbir.hasan.230@gslingacademy.com,Male,FALSE,35,Civil,78,67,86,78,81,63
231,Fahim,Chowdhury,fahim.chowdhury.231@gslingacademy.com,Male,TRUE,21,Civil,78,76,74,81,91,74
232,Tamanna,Chowdhury,tamanna.chowdhury.232@gslingacademy.com,Female,FALSE,21,Lawyer,84,60,65,62,61,89
233,Maliha,Hasan,maliha.hasan.233@gslingacademy.com,Female,FALSE,16,Biotechnology,83,73,62,87,74,100
234,Sabbir,Kabir,sabbir.kabir.234@gslingacademy.com,Male,TRUE,21,Civil,66,54,86,53,51,77
